Link,Size (KB),# of Outlinks,Content Type
https://www.foxnews.com/sports/william-byron-punches-ticket-round-8-victory-texas.amp,143.2041015625,183,text/html
https://www.foxnews.com/sports/nascar-star-bubba-wallace-praises-own-maturity-not-punching-something-frustrating-race.amp,126.6318359375,184,text/html
https://www.foxnews.com/video/topics/auto/attributes,308.455078125,122,text/html
https://www.foxnews.com/video/topics/auto/attributes/racing,284.396484375,122,text/html
https://www.foxnews.com/category/us/us-regions/midwest/iowa,103.9541015625,339,text/html
https://www.foxnews.com/video/topics/shows/fox-friends,264.78125,122,text/html
https://www.foxnews.com/sports/nascars-ryan-preece-out-of-the-hospital-violent-crash-daytona,208.5791015625,320,text/html
https://www.foxnews.com/category/travel,103.9384765625,339,text/html
https://www.foxnews.com/category/food-drink/recipes,111.1806640625,355,text/html
https://www.foxnews.com/sports/martin-truex-jr-dominates-new-hampshire-en-route-third-win-season,216.8271484375,320,text/html
https://www.foxnews.com/sports/kyle-larson-starts-nascar-playoffs-win-darlington.amp,145.4130859375,183,text/html
https://www.foxnews.com/category/auto/make/ford,102.9267578125,339,text/html
https://www.foxnews.com/category/us/us-regions/midwest/kansas,102.388671875,339,text/html
https://www.foxnews.com/sports/john-hunter-nemechek-will-drive-no-42-legacy-motor-club-in-2024-noah-gragson-controversy,208.234375,320,text/html
https://www.foxnews.com/video/topics/us/crime,294.2548828125,122,text/html
https://www.foxnews.com/video/topics/us/us-regions/southwest/texas,288.90625,122,text/html
https://www.foxnews.com/video/topics/special/occasions/christmas,317.3232421875,122,text/html
https://www.foxnews.com/video/topics/lifestyle/occasions/christmas,317.3623046875,122,text/html
https://www.foxnews.com/video/topics/us/environment/water,290.9892578125,122,text/html
https://www.foxnews.com/video/topics/special/occasions/holiday,309.5419921875,122,text/html
https://www.foxnews.com/video/topics/lifestyle/occasions/holiday,309.5810546875,122,text/html
https://www.foxnews.com/lifestyle/meet-american-who-created-nascar-daytona-bill-france-daytona-racetrack-pioneer.amp,194.08984375,194,text/html
https://www.foxnews.com/lifestyle/meet-american-created-sports-bar-st-louis-wwii-veteran-jimmy-palermo,287.8388671875,328,text/html
https://www.foxnews.com/video/topics/lifestyle/viral-videos,285.634765625,122,text/html
https://www.foxnews.com/video/topics/lifestyle,291.25,122,text/html
https://www.foxnews.com/category/us/us-regions/west/utah,103.1630859375,339,text/html
https://www.foxnews.com/lifestyle/meet-american-founded-pickleball-fastest-growing-sport,277.6279296875,331,text/html
https://www.foxnews.com/category/topic/world-war-two,105.298828125,339,text/html
https://www.foxnews.com/sports/nascar-legend-richard-petty-takes-issue-team-owners-moves-strange,210.3251953125,321,text/html
https://www.foxnews.com/video/6272675809001,60.3544921875,76,text/html
https://www.foxnews.com/lifestyle/meet-american-first-paid-professional-football-player-pudge-heffelfinger,301.666015625,334,text/html
https://www.foxnews.com/video/6270777991001,60.69921875,76,text/html
https://www.foxnews.com/sports/nascars-ryan-preece-out-of-the-hospital-violent-crash-daytona.amp,128.7197265625,184,text/html
https://www.foxnews.com/category/world/world-regions/caribbean-region,104.3115234375,339,text/html
https://www.foxnews.com/video/6346793417112,62.78515625,77,text/html
https://www.foxnews.com/video/6346796691112,64.7685546875,79,text/html
https://www.foxnews.com/video/6346795789112,57.486328125,80,text/html
https://www.foxnews.com/sports/seven-time-cup-series-champion-jimmie-johnson-headlines-nominees-nascar-hall-of-fame,203.2109375,319,text/html
https://www.foxnews.com/sports/martin-truex-jr-dominates-new-hampshire-en-route-third-win-season.amp,142.7109375,184,text/html
https://www.foxnews.com/sports/body-cam-captures-final-gunshot-apparent-murder-suicide-nascar-driver-jimmie-johnsons-in-laws-nephew,212.07421875,321,text/html
https://www.foxnews.com/category/sports/nfl/pittsburgh-steelers,104.1416015625,339,text/html
https://www.foxnews.com/category/sports/nfl/green-bay-packers,103.78125,339,text/html
https://www.foxnews.com/lifestyle/meet-american-commanded-marines-revolutionary-war-hero-samuel-nicholas,288.794921875,330,text/html
https://www.foxnews.com/lifestyle/this-day-history-nov-10-1928-notre-dame-shocks-army-win-one-gipper,236.9052734375,327,text/html
https://www.foxnews.com/lifestyle/alabama-friendsgiving-diners-tip-waffle-house-waitress-1125-normalize-being-kind,216.5908203125,324,text/html
https://www.foxnews.com/lifestyle/meet-american-who-inspired-nation-two-world-wars-christian-soldier-sgt-alvin-york,286.1015625,330,text/html
https://www.foxnews.com/category/entertainment/events/charity,103.697265625,339,text/html
